local_id,name,categories,description,rating_count,verified
4b54392af964a520ebb427e3,BY - Interactive Brands Agency,Advertising Agency,An Agency with a view.,8.7,VERDADEIRO
4b5812bdf964a5203a4a28e3,Hotel HF Fénix Porto,Hotel,"In the city centre, near everything and with easy access, it still shows a comfort level according to the quality of the HF Hotéis Fénix group.
With recently improved social areas, a terrace and a high quality level, this hotel is the right choice for your stay in Oporto.",7.8,VERDADEIRO
4b634318f964a5204d6e2ae3,Marquês de Pombal,Plaza,"The Marquis of Pombal Square (Portuguese: Praça do Marquês de Pombal) is an important roundabout in the city of Lisbon, Portugal. It is located between the Avenida da Liberdade (Liberty Avenue) and the Eduardo VII Park in the former parish of Coração de Jesus and in the quarter of Santo António.",9.1,VERDADEIRO
4b645765f964a520e2ab2ae3,Aeroporto Internacional da Madeira Cristiano Ronaldo (FNC) (Aeroporto Internacional da Madeira Cristiano Ronaldo),Airport,"Cristiano Ronaldo International Airport, informally known as Madeira or Funchal Airport, and formerly known as Santa Catarina Airport, is an international airport in Santa Catarina, Santa Cruz. It is 13.2 km (8.2 mi) east northeast of the Cathedral of Funchal, Madeira, Portugal.",7.6,FALSO
4b7495d5f964a520e3e52de3,Holiday Inn Porto Gaia,Hotel,"Ideal for your business and leisure visit to Porto / Gaia 
With all the Clean & Safe Procedures ( IHG Clean Promise ), You'll have all the confidence you need to book your Family Trip

Holiday Inn® Porto - Gaia offers beautiful views of Porto and the Douro River...",8,VERDADEIRO
4b75c302f964a520d6222ee3,Caves Taylor's,Winery,Taylors invites you to a pleasant and informative tour of its famous lodges at Vila Nova de Gaia. During the tour the visitor will be given the opportunity to learn about the fascinating history of Port wine.,9.1,VERDADEIRO
4b76bee9f964a5203c5c2ee3,"Zoomarine Algarve, Portugal",Theme Park,"Descobre os mistérios dos oceanos no melhor parque temático familiar do País. 
Discover the mysteries of the oceans at the Algarve's best family theme park.",8.7,VERDADEIRO
4b788529f964a520e8d32ee3,Croft Port,Wine Shop,"In Crofts  magnificent wine cellars, professional and highly educational tours take place all year round, seven days a week. Our visitors centre offers a captivating atmosphere, reminiscent of the Companys 420 years of history and tradition. We also have a wine shop open for our visitors.",8.6,VERDADEIRO
4b80498af964a520796430e3,Hotel Eva,Hotel,"Located just a few steps away from the Faro historical centre, it offers guests a magnificent view of the picturesque marina.
A pleasant stay is guaranteed with its 134 Rooms and Suites, Health Club, Outdoor Swimming pool, 2 Restaurants, Bars and 6 Meetings and events rooms.",6.6,VERDADEIRO
4b83208af964a52041f930e3,Sheraton Lisboa Hotel & Spa,Hotel,"Sheraton Lisboa Hotel & Spa is a modern hotel located in Lisbon, near popular tourist sights and dining and entertainment in the city center. The hotel offers sleek rooms with fast Wi-Fi, an outdoor pool and views of Lisbon and the waterfront.",8.6,VERDADEIRO
